 # t =    240.00000357627869     
 x   y   z   vx   vy   vz
    48.34758    20.71824    -2.04399     6.0373E-02 -4.4900E-02 -1.7340E-01
    54.25425    18.55080     2.52794     4.7369E-01 -9.6808E-03  2.7621E-02
    97.84519   -10.53866    48.95579     3.8065E-01 -1.4536E-02  1.8082E-01
    16.80661    40.08016    11.56357     1.2701E-01  1.4920E-01  5.0633E-02
   -95.68704    46.29366    34.61850    -3.8814E-01  2.0066E-01  1.5204E-01
    64.57554     8.90757    14.85688     2.5581E-01  5.9513E-02  1.6603E-02
    38.68035    24.41327    -5.47987     2.9787E-01  9.9851E-02 -3.8411E-04
    51.03208    23.84234     0.10926     2.2142E-01 -5.2490E-02 -1.6461E-01
    11.33561     4.79672    -4.22751     1.0003E-01  4.4510E-02  6.9992E-03
    51.66005    21.09356     1.34793     3.3223E-01  3.0636E-01  1.6962E-01
    48.39676    26.70149    -7.89527     1.9733E-01  1.3628E-01  1.3013E-02
    28.26334    62.40706    80.91903     1.2199E-01  2.5049E-01  3.2882E-01
   117.97066    29.32609    36.30860     4.5365E-01  1.1707E-01  1.3970E-01
    53.89534    21.33662     1.00187    -5.6913E-02  9.0338E-02  2.4230E-02
    49.67002    12.29151    -7.22862     1.9553E-01  6.1386E-02  9.9200E-03
    18.84169    29.58703    31.15400     1.2555E-01  1.3536E-01  1.0462E-01
    52.70626    21.70114     0.41959     3.2769E-01  5.3443E-02 -5.6475E-02
    51.45105    24.88071     2.05955     7.3414E-02  3.4133E-02 -2.2286E-03
    52.25024    20.35203     0.21179     5.0819E-01  1.6903E-01 -6.9697E-02
    77.20345    51.19655    -0.76072     2.7380E-01  1.6541E-01  1.1505E-02
    59.44787    19.72777    -5.64687     1.4467E-01  6.5724E-02 -1.9028E-03
    53.85032    20.06690     2.62537     4.0973E-02  1.3805E-01 -5.4405E-02
    57.59395    22.36154     2.17011     3.6234E-01  7.8579E-02 -7.7390E-03
    12.42216    27.69440    39.06281     8.6943E-02  1.1197E-01  1.4265E-01
    63.36443    20.84870   -12.89185     1.6737E-01  1.0113E-01  3.7655E-02
    50.30106    20.06347     1.51901     1.4001E-01 -1.9267E-01 -1.4558E-01
    52.48842    21.36169    -0.35651     3.4008E-01 -1.8546E-01  5.2186E-02
    50.32747    17.90100     1.60244     1.9155E-01  1.1348E-01 -6.0456E-02
    61.50574    33.96442    28.16316     2.1040E-01  1.1238E-01  6.4394E-02
    52.23105    24.90457     2.24041     2.0627E-01  1.8076E-01  7.6546E-02
    51.24591    21.38606     2.72827     1.2482E-01  2.5127E-01  1.9371E-01
    52.18536    21.85205    -4.98301     2.7222E-01  8.6984E-02 -1.7834E-01
    10.31576   -37.89699  -140.74139     3.7098E-02 -1.4680E-01 -5.6259E-01
    46.86468    21.38085     1.67959     3.0137E-01  3.8764E-02 -2.3379E-02
    71.85831    12.79729     1.69466     2.1820E-01  1.2965E-01  4.8146E-02
    24.60094    43.14768     6.11439     1.5609E-01  1.5188E-01  3.0526E-03
    52.23011    22.53052     2.59964     4.5007E-02  1.2432E-01  7.0332E-02
    37.63981    15.78805     9.02278     2.9132E-01  1.3663E-01 -2.0444E-02
    47.76862    21.15837     3.16810     4.6254E-01  6.9215E-02  1.2362E-02
    57.11567    46.34626    21.03602     2.2721E-01  1.4184E-01  3.7516E-02
    58.12223    18.80949    -0.08223     4.0759E-01  1.3843E-01  7.9772E-02
    13.96988     1.83974    25.17014     1.0141E-01  4.3146E-02  1.0096E-01
