 # t =    390.00000581145287     
 x   y   z   vx   vy   vz
    81.03180    25.61057    -3.96877     2.9048E-01  1.0710E-01  7.7474E-02
    79.41260    31.93256     8.21587     2.0096E-01  4.4523E-03  1.0226E-01
   154.32970   -12.43704    74.79254     3.7268E-01 -1.1434E-02  1.6689E-01
    37.94010    61.29260    18.54668     1.5181E-01  1.3396E-01  4.2678E-02
  -153.64471    76.33086    57.36192    -3.8502E-01  1.9989E-01  1.5128E-01
    99.69369    20.30257    12.07873     2.0371E-01  9.3216E-02 -4.9254E-02
    84.24848    29.30507    14.15831     1.4382E-01  3.4337E-02  1.1307E-01
    83.60057    37.30269     1.28579     2.2911E-01 -3.3145E-02 -1.3326E-01
    28.66182    11.92931    -3.03137     1.3018E-01  4.8194E-02  8.2422E-03
    85.13632    35.59538     2.29151     1.7332E-01 -6.3268E-02 -1.3390E-02
    89.04469    25.62234     4.88568     2.4038E-01  3.5869E-02 -2.3908E-02
    46.78199    99.67308   129.70947     1.2439E-01  2.4682E-01  3.2255E-01
   185.13119    46.41157    56.50332     4.4327E-01  1.1220E-01  1.3171E-01
    88.32906    35.40418     2.06096     1.5393E-01  5.7111E-02  1.1346E-02
    88.97561    42.83512     5.46597     2.8037E-01  1.8225E-01  1.4856E-02
    39.20882    49.27135    45.50636     1.4376E-01  1.2712E-01  8.8007E-02
    85.08679    35.39368     4.11786     2.9039E-01  1.0707E-01 -5.8644E-03
    85.65449    37.98845     3.60973     6.2148E-02  1.8193E-01  4.8775E-02
    83.71026    35.23393     4.75476     3.3381E-02 -3.0507E-02  4.6402E-02
   116.95203    73.48625     0.97852     2.5632E-01  1.3512E-01  1.1723E-02
    89.62911    39.55051     9.49386     2.6082E-01  5.9407E-02 -5.7119E-02
    84.29277    34.58211     2.88669     4.4831E-01  3.0186E-01 -8.2914E-02
    82.06359    38.12055     6.41895     3.5910E-01  2.4173E-02 -4.2463E-02
    26.56906    44.15981    59.47756     1.0004E-01  1.0753E-01  1.3048E-01
    83.58540    34.43801    12.49547     2.3334E-01  7.8353E-02  2.0187E-01
    80.81997    32.83109     5.79795     3.4455E-01  3.6822E-02 -1.3745E-01
    85.61054    32.22164     4.41133     7.7300E-02  2.0640E-01  1.1105E-01
    87.31889    34.18971     6.94049     1.8079E-01  2.5729E-02 -1.0834E-02
    92.34519    48.71716    34.21266     2.0032E-01  8.5235E-02  1.8113E-02
    86.86250    33.27201     0.12635     3.0138E-01  9.0366E-02 -8.1726E-02
    84.72203    35.85703     0.65631     2.4047E-01 -2.4159E-03 -1.2305E-02
    80.68274    37.22090     7.92042     5.9278E-02  1.8887E-01  1.1533E-01
    16.00145   -59.82697  -224.84670     3.8446E-02 -1.4576E-01 -5.5920E-01
    83.33447    31.40257     0.88212     3.4706E-01  1.9579E-01  8.9104E-02
    96.64845    32.92510     6.86708     7.9232E-02  1.4114E-01  9.8480E-03
    50.45256    63.81367     6.14650     1.8583E-01  1.2462E-01 -1.9763E-03
    84.32133    35.68933     4.58819     7.3175E-02  7.1321E-03 -2.0261E-02
    98.11576    34.50393    -6.28983     3.6067E-01  6.5354E-02 -9.2593E-02
    84.00107    34.84486     0.78499     8.7861E-02  4.5491E-03  3.4697E-01
    90.91178    64.40133    24.33950     2.2224E-01  1.0052E-01  8.3074E-03
    86.69343    38.13300     6.51496     4.5804E-04  1.1114E-02 -8.1125E-02
    30.79467     8.70942    39.31194     1.2139E-01  4.6974E-02  8.7558E-02
    73.31790    19.74840     1.06269     2.6073E-01  1.6969E-01  1.7287E-02
    85.85868    33.03257     5.01426     1.8082E-01  2.7159E-01 -1.5565E-01
    85.87733    32.27568     1.20629     3.4415E-01  1.0234E-01 -6.6977E-02
    83.20273   140.10607   152.63073     2.1311E-01  3.5252E-01  3.8302E-01
    83.23010    37.40731     6.46742     3.5719E-01  1.0474E-01  2.8316E-02
    81.80724    34.07216     4.12549     2.8580E-01  1.7660E-01  4.1410E-02
    84.43930    35.47434     4.82488     1.7993E-01  1.8261E-02 -1.0028E-01
    84.58322    35.30455     5.72150     2.7380E-01  4.9391E-02  7.0699E-02
    79.01032    34.54474     3.59485     2.8640E-01  1.1048E-01 -7.0864E-02
    97.54562    33.01655    47.58125     2.0237E-01  9.8184E-02 -3.0685E-02
    85.51828    34.29386     4.03379     2.5992E-01 -3.5929E-02  9.1921E-02
    83.54441    34.81572     3.33186     3.1244E-01  6.6922E-02  8.1004E-02
    94.69458    33.78734    -1.86413     2.5661E-01  5.2762E-02 -1.6699E-02
    85.61984    35.15049     3.68369     9.6932E-02 -5.8604E-02  7.1215E-02
    60.21994    13.16362    78.46637     1.6195E-01  4.9102E-02  1.6578E-01
    85.48537    34.89073     3.53743     3.0258E-01  2.7798E-01  4.5571E-01
   100.33733    82.15022   -54.12317     3.1512E-01  4.1535E-01 -3.7585E-01
