 # t =    90.000001341104507     
 x   y   z   vx   vy   vz
    30.11682    -0.67504     3.51181     2.5228E-01  1.1139E-01  5.7960E-02
    17.63224     3.93173     2.58229     3.5977E-01  1.1114E-01 -8.4113E-02
    40.48715    -7.61699    19.91435     3.8772E-01 -2.7192E-02  2.0776E-01
     1.16339    16.05431     3.21053     7.1168E-02  1.7551E-01  6.2844E-02
   -36.92742    16.09758    11.69586    -3.9781E-01  2.0231E-01  1.5413E-01
    21.33950     5.48010     3.37204     3.5342E-01 -4.7155E-02  2.4032E-01
     7.79899     7.09613    -1.23545     1.0313E-01  1.2623E-01 -4.2085E-02
    19.83159     8.55425     0.02212     1.8783E-01  1.6196E-01 -2.1987E-01
    -0.20057    -0.68503    -4.88867     4.2815E-02  2.4043E-02  3.6694E-05
    19.65914     6.74187    -0.72768     3.3227E-01  1.0386E-01  3.4723E-02
    21.18367     8.34579    10.22709     2.1765E-01  6.6388E-02  7.7527E-03
    10.49240    24.28668    30.56767     1.1299E-01  2.5993E-01  3.4685E-01
    49.25537    10.82173    13.59313     4.6583E-01  1.2787E-01  1.6317E-01
    20.61861     6.79004    -1.23791    -9.1552E-02  3.8205E-01  1.1193E-01
    18.59171     9.13392     9.51669     2.1652E-01  1.2085E-01 -1.0433E-02
     2.83607     8.65909    13.20791     7.8697E-02  1.4299E-01  1.4110E-01
    19.44875     7.01425    -2.66320     3.6964E-01  1.1724E-01  6.0695E-02
    20.61415    10.03117    -0.24389     5.6304E-02  2.6840E-02 -1.5479E-02
    22.56816     6.51363    -2.69703     3.0655E-01  1.9744E-01  6.0842E-02
    34.45431    22.90595    -2.40112     3.0405E-01  2.1859E-01  9.5681E-03
    14.13426     2.22907    -6.76021     1.8245E-01  1.3312E-01  1.0221E-01
    16.96341     3.38780    -1.02781     1.6413E-01  1.1727E-01 -4.1881E-03
    20.89034    10.24488     2.89825     2.7373E-01  5.2125E-03 -1.2036E-01
     1.36054    10.50556    16.00606     5.3642E-02  1.1850E-01  1.7079E-01
    32.07462     5.52098   -10.69894     2.6377E-01  9.9428E-02 -6.8889E-02
    21.66355     6.21912    -2.73872     2.6441E-01  4.1606E-01  2.2393E-01
    21.06578     4.63257    -0.90524     4.6699E-02  1.9149E-01  2.1747E-01
    20.99398     6.97682    -0.16806     1.1721E-01 -2.2218E-01 -5.4729E-02
    28.82424    14.69788    13.92492     2.3225E-01  1.4853E-01  1.3430E-01
    22.17709     7.72857    -3.05249     2.3865E-01  1.9654E-01  4.1757E-03
    20.55459     9.31927    -1.37289     2.4773E-01  6.1322E-02 -5.8525E-02
    21.16578     6.00255    -1.37555     4.3208E-01 -1.2099E-01  3.9115E-01
     5.02331   -15.68409   -55.84188     3.2511E-02 -1.5028E-01 -5.7139E-01
