 # t =    70.000001043081284     
 x   y   z   vx   vy   vz
    24.79265    -2.68822     2.20966     2.8096E-01  8.8816E-02  7.2400E-02
    11.17801     2.21005     3.37035     2.8950E-01  6.8993E-02 -2.8857E-03
    32.68629    -7.03357    15.69716     3.9279E-01 -3.1418E-02  2.1438E-01
    -0.10412    12.47397     1.91973     5.4663E-02  1.8292E-01  6.6430E-02
   -28.93713    12.04609     8.60590    -4.0148E-01  2.0288E-01  1.5493E-01
    15.27904     5.69258    -4.37904     1.7226E-01  1.1019E-01  4.0632E-01
     6.17057     4.56102    -0.41234     5.6956E-02  1.2708E-01 -3.9780E-02
    16.71320     3.44132     0.88094     1.5023E-01  2.5933E-01  1.4932E-01
    -0.89322    -1.10461    -4.86106     2.5487E-02  1.7664E-02 -3.0846E-03
    17.46328     4.58799    -2.10161     1.5414E-01  8.2007E-02 -1.5622E-03
    16.81191     6.95386     9.64508     2.1958E-01  7.3148E-02  5.0618E-02
     8.25920    19.05597    23.56970     1.1017E-01  2.6341E-01  3.5341E-01
    39.87163     8.25233    10.28772     4.7317E-01  1.2915E-01  1.6763E-01
    18.69938     1.69962    -2.94924     2.2485E-01  1.2810E-01  3.2232E-02
    14.35243     6.62228     9.28526     2.0734E-01  1.2998E-01  3.3740E-02
     1.39033     5.78753    10.28684     6.5080E-02  1.4418E-01  1.5159E-01
    17.00392     4.28349    -0.87882    -4.8060E-02  7.2272E-02 -7.1724E-02
    18.67981     6.94587    -0.81934     1.6983E-01  2.7597E-01  7.4231E-02
    14.49385     4.55159    -0.66745     2.6250E-01 -3.5648E-02 -1.4431E-01
    28.26984    18.40270    -2.58503     3.1494E-01  2.3229E-01  8.7750E-03
    10.89639    -0.14645    -8.41990     1.4313E-01  1.0467E-01  6.3370E-02
    15.47585     2.89918    -1.28090    -3.6779E-02 -1.1700E-01  5.4052E-02
    15.41690     9.33640     4.33625     2.7076E-01  7.7381E-02 -3.2111E-02
     0.38709     8.11430    12.50496     4.3071E-02  1.2080E-01  1.7985E-01
    26.55302     3.56473    -9.12715     2.9003E-01  9.6014E-02 -8.9091E-02
    15.21350     0.32272    -4.06248     3.2022E-01  1.8912E-01 -1.8148E-02
    17.56888     4.60260    -4.00391     3.2194E-01 -6.6532E-02  2.1090E-02
    17.04212     7.92913    -1.73879     2.5459E-01  1.2668E-01  1.2564E-01
    24.09423    11.64263    11.07266     2.4137E-01  1.5744E-01  1.5180E-01
    14.83061     3.61436    -0.41627     3.0323E-01  6.7420E-02 -1.1179E-01
    16.14476     3.55189    -1.40915     1.4931E-01  3.8601E-01  1.3980E-01
    13.59065     6.75104    -4.20599     2.8236E-01  4.0626E-02  9.8768E-03
     4.38592   -12.66613   -44.38451     3.1155E-02 -1.5162E-01 -5.7459E-01
    17.17507     5.80611    -1.12927     2.2143E-01  4.4353E-01  1.9397E-01
    26.85496    -4.57286    -5.90630     3.2739E-01  5.6309E-02  2.9769E-02
     3.23014    13.47744     4.28894     7.8930E-02  2.0829E-01  2.7131E-02
    17.04139     5.61377    -0.75429     5.0500E-02  1.2294E-01  1.6600E-01
    -1.19390    -3.60360     7.05537     1.7254E-01  9.1923E-02  3.9520E-02
    19.74803     2.56880     5.56442     2.5701E-01  1.0193E-01 -3.6127E-02
    18.24121    16.91094    10.28244     2.3224E-01  2.1653E-01  1.0252E-01
    19.10086    12.13742     5.12613     1.3525E-01  1.7131E-01  6.7378E-02
     0.29105    -4.03768     6.06171     4.5706E-02  1.7817E-02  1.3159E-01
    11.63035   -11.19244    -2.93531     1.3872E-01 -6.3598E-03  4.5557E-03
