 # t =    440.00000655651093     
 x   y   z   vx   vy   vz
    96.43139    33.92861     1.96417     3.2011E-01  2.7716E-01  1.7906E-01
    92.35943    33.79999    10.06314     3.0555E-01  7.6493E-02 -2.7278E-02
   172.91586   -12.99525    83.08887     3.7084E-01 -1.0909E-02  1.6506E-01
    45.65932    67.87549    20.62586     1.5674E-01  1.2945E-01  4.0538E-02
  -172.87914    86.32009    64.92151    -3.8438E-01  1.9968E-01  1.5111E-01
   109.18515    25.47061     9.22017     1.7466E-01  1.1523E-01 -6.4832E-02
    91.68180    31.78856    17.84704     1.5512E-01  6.2335E-02  4.1150E-02
    96.73679    38.03905     7.15082     1.5046E-01  2.4680E-01  6.0673E-02
    35.40276    14.27186    -2.63673     1.3926E-01  4.4938E-02  7.4342E-03
    95.82807    38.22830     2.60840     1.8212E-01 -7.4147E-02  1.2078E-01
    99.46756    30.76834     3.18619     1.7279E-01  1.7799E-01 -3.7329E-02
    53.00985   111.99447   145.80501     1.2470E-01  2.4606E-01  3.2132E-01
   207.24475    52.00795    63.06158     4.4135E-01  1.1169E-01  1.3068E-01
    93.96439    37.94837     5.07728     4.0118E-01  1.3750E-01 -7.2779E-02
   101.56708    49.00181     5.43841     2.2671E-01  7.2145E-02 -1.1493E-02
    46.48739    55.56162    49.80224     1.4721E-01  1.2453E-01  8.3940E-02
    96.61697    38.92975     3.81247     2.2806E-01 -5.4102E-02 -7.9573E-02
    96.79268    35.84816     3.19731     4.9208E-01  5.9996E-02 -3.4594E-02
    97.56506    40.27087     4.12245     8.2172E-02  1.0670E-01  1.0559E-01
   129.64169    80.07553     1.56949     2.5136E-01  1.2866E-01  1.1952E-02
    98.88535    39.43155     3.48080     2.2374E-02 -9.9927E-02 -1.8020E-01
    93.49867    37.64826     3.61047     1.9367E-01  1.2289E-01 -4.8881E-02
    96.41501    33.30494    -0.25416     1.6046E-01 -1.4403E-02 -4.6622E-02
    31.63630    49.49971    65.92422     1.0253E-01  1.0608E-01  1.2746E-01
    95.48919    38.28836    19.75844     2.3967E-01  7.5624E-02  1.0408E-01
   100.75934    42.72125     2.51504     2.5170E-01  1.8868E-01  5.7762E-02
    97.31086    37.48101     2.29206     2.1217E-01 -1.2731E-01  2.1101E-01
    95.15301    40.59811     0.09315     2.6522E-01  1.2174E-01  4.2512E-02
   102.27334    52.78586    34.77642     1.9684E-01  7.7589E-02  4.4785E-03
    93.55074    38.02509     6.82709     1.5580E-01  3.1337E-02  6.6435E-02
    95.74162    38.93692     4.52919     2.3207E-01  8.3771E-02 -2.9935E-01
    86.28044    44.79003    11.00981     1.4950E-01  1.2450E-01  2.8711E-02
    17.92875   -67.10980  -252.78843     3.8635E-02 -1.4556E-01 -5.5849E-01
    96.78684    42.80658     7.12613     1.7698E-01  6.5100E-02  1.3333E-02
    96.26276    39.66273     5.04365    -1.6483E-01  5.4403E-02 -1.8636E-01
    59.93677    69.88967     6.07663     1.9272E-01  1.1801E-01 -1.6222E-03
    94.91451    38.93868     4.90079     1.0471E-02  7.5188E-03 -1.6556E-02
   115.10697    37.69000   -10.23781     3.2242E-01  6.2963E-02 -6.8793E-02
    99.09537    36.95092    12.57293     3.1778E-01  6.8340E-02  8.7880E-02
   101.95919    69.12868    24.55815     2.1966E-01  8.8694E-02  5.5346E-04
    95.68771    32.77919    -1.01206     3.3851E-01 -4.3885E-02 -6.5276E-02
    36.98207    11.04944    43.57123     1.2588E-01  4.6526E-02  8.2799E-02
    87.23442    29.14782     2.04066     3.0152E-01  2.1219E-01  2.3151E-02
    95.08198    38.83473     2.08322     3.3431E-01 -6.5559E-02  2.3365E-01
    93.37172    37.71720     5.57799     2.3761E-01 -2.6273E-02 -5.5936E-02
    93.85745   157.71538   171.76111     2.1308E-01  3.5188E-01  3.8223E-01
    94.49034    35.48161     0.85934     3.8666E-02  3.4487E-02 -9.0820E-03
    97.60202    36.52849     2.10189     3.5913E-02  8.1603E-02  8.8085E-02
    94.79924    39.35078     5.34871     1.2819E-01  7.4885E-02  7.6072E-03
    95.59499    38.56386     2.66162     2.4641E-01  1.0100E-01  3.1092E-01
   100.80426    37.26703     5.84152     3.0548E-01  1.6541E-02  1.4764E-01
   107.58299    37.89650    45.80396     1.9906E-01  9.6995E-02 -4.0498E-02
    96.64937    37.13381     4.20377     2.1667E-01  6.7424E-02 -6.6936E-02
    95.88977    38.59763     4.63570     3.9022E-01  3.7949E-02 -2.3912E-02
   104.77740    36.66747    -1.27479     1.4470E-01  6.4707E-02  4.2594E-02
    95.55926    38.05282     3.98232     1.3130E-01 -1.1539E-01 -5.9522E-02
    68.33679    15.61381    86.64922     1.6263E-01  4.8898E-02  1.6168E-01
    96.96827    42.43996    14.80363     2.1277E-01  1.0918E-01  1.2888E-01
   116.07018   102.84622   -72.85101     3.1425E-01  4.1273E-01 -3.7347E-01
   100.06744    34.11941    14.36588     2.2203E-01  8.4275E-02  6.6973E-02
    95.43192    37.21485     9.68682     2.1669E-01  1.6370E-01 -1.1775E-01
    95.41930    37.40764     2.62194    -2.3533E-02  1.2045E-01  8.4089E-02
