 # t =    360.00000536441803     
 x   y   z   vx   vy   vz
    72.63549    22.95250    -5.77062     2.6914E-01  7.2567E-02  4.3738E-02
    75.62326    32.39637     3.54665    -9.0733E-03 -2.5800E-02  2.2755E-01
   143.12949   -12.08872    69.76468     3.7403E-01 -1.1800E-02  1.6836E-01
    33.43854    57.23039    17.24493     1.4819E-01  1.3687E-01  4.4127E-02
  -142.08733    70.33227    52.82169    -3.8548E-01  2.0002E-01  1.5140E-01
    93.35831    17.64638    13.40313     2.1840E-01  8.4331E-02 -3.8817E-02
    79.89154    28.71777     9.66443     1.5135E-01 -7.7185E-05  1.9654E-01
    78.82784    32.17632     5.02473     1.2752E-01  3.5691E-01  4.7494E-02
    24.84305    10.47338    -3.28126     1.2439E-01  4.8718E-02  8.3685E-03
    78.04610    30.57478     2.82686     2.1403E-01  3.8603E-02  1.0138E-01
    81.17263    25.85520     5.21173     2.8743E-01 -5.9230E-02  8.3266E-03
    43.05384    92.26044   120.01983     1.2414E-01  2.4736E-01  3.2344E-01
   171.81248    43.03943    52.54055     4.4469E-01  1.1263E-01  1.3251E-01
    76.92154    31.58921     3.14091     5.1211E-01  1.5970E-01 -4.1383E-02
    79.73287    35.55713     4.41323     3.4824E-01  3.3607E-01  7.1730E-02
    34.93398    45.43358    42.82526     1.4115E-01  1.2874E-01  9.0769E-02
    78.88959    31.95673     2.53868     2.4521E-01 -5.3628E-02 -8.9760E-02
    77.86614    29.06747     2.21386     4.4656E-01  1.6274E-01  8.1145E-03
    79.61581    30.69750     0.57178     3.5036E-01  1.5674E-01  5.2546E-03
   109.21369    69.36598     0.62797     2.5961E-01  1.3966E-01  1.1652E-02
    81.14050    36.95855    10.11660     3.0201E-01  1.1331E-01  1.7334E-02
    78.56630    31.05641     3.39737     6.9191E-02 -1.4502E-01  1.3375E-01
    72.88808    35.70174     6.17580     2.5292E-01  1.2604E-01  4.8832E-02
    23.59533    40.92037    55.53323     9.8160E-02  1.0843E-01  1.3251E-01
    77.28321    32.07359     3.81010     1.2715E-01  7.7196E-02  4.6169E-01
    72.73488    32.19232     8.13743     2.1025E-01  1.6435E-02 -2.4823E-02
    78.86593    32.66827     1.26061     4.1379E-01 -1.3635E-01 -6.6534E-02
    78.45354    32.59507     2.52236     4.6918E-01  1.7404E-01  3.1776E-01
