 # t =    480.00000715255737     
 x   y   z   vx   vy   vz
   103.35657    47.68181     6.17474     1.0810E-01  2.2228E-01 -1.6438E-04
   105.71791    39.47340     5.52322     3.3251E-01  2.7538E-01 -2.6529E-01
   187.72537   -13.42450    89.66808     3.6966E-01 -1.0564E-02  1.6394E-01
    51.99377    72.98778    22.21594     1.5988E-01  1.2623E-01  3.8993E-02
  -188.24521    94.30445    70.96320    -3.8394E-01  1.9954E-01  1.5098E-01
   115.56229    30.59970     6.39880     1.4191E-01  1.4386E-01 -7.5926E-02
    98.14916    34.61072    18.66069     1.6869E-01  7.8505E-02  7.7183E-04
   104.58877    41.03578     1.57339     3.3215E-01 -1.6219E-01 -7.4302E-02
    41.09352    15.97803    -2.35850     1.4485E-01  4.0191E-02  6.3808E-03
   104.70047    41.77287     2.40896     1.9386E-01 -1.6378E-02 -3.7008E-03
   104.14525    42.97983     3.88187     8.9205E-02  4.0267E-01  2.1138E-01
    58.00152   121.82646   158.64095     1.2487E-01  2.4555E-01  3.2051E-01
   224.87357    56.46901    68.27538     4.4012E-01  1.1138E-01  1.3004E-01
   106.85887    40.87444     2.43856     8.4058E-02  5.0156E-02  1.0338E-01
   109.82135    50.27257     4.74886     1.8367E-01 -1.2311E-02 -2.1941E-02
    52.41989    60.50487    53.10285     1.4934E-01  1.2266E-01  8.1157E-02
   105.71472    42.13286     4.39285     2.1837E-01 -1.4914E-02 -4.1327E-02
   107.66629    43.58081     4.26461     4.1624E-02  1.5289E-01  4.9955E-02
   105.31208    39.20981     2.66387     3.5768E-01  1.9441E-01  2.8468E-03
   139.62399    85.13011     2.04959     2.4782E-01  1.2416E-01  1.2052E-02
    97.82343    38.19197     4.28711     8.4039E-02  5.4045E-02  9.3270E-02
   107.39669    40.75101     4.91803     1.0383E-01  1.8935E-02  2.1331E-02
   103.14920    36.09444     0.44999     1.8536E-01  1.5408E-01  8.0415E-02
    35.76901    53.72086    70.98000     1.0405E-01  1.0499E-01  1.2537E-01
   105.06289    41.27904    23.01428     2.3878E-01  7.3918E-02  6.0852E-02
   108.11320    47.11184     5.02564     1.2630E-01  2.3912E-02  5.6424E-02
   103.31799    42.94651     5.09661     2.8710E-01  1.5979E-01 -2.0054E-01
   105.03362    38.40276     6.51067     1.7410E-01 -4.6270E-02  3.9821E-02
   110.09518    55.77089    34.73821     1.9430E-01  7.1672E-02 -6.4114E-03
   106.62397    41.67754     2.27460     3.9136E-01  1.7933E-01 -1.4444E-01
   105.03906    40.97231     4.75465     1.7459E-01  2.5668E-01  2.8625E-01
    93.08854    49.17057    11.53967     1.8931E-01  9.5723E-02 -3.3218E-04
    19.47635   -72.92942  -275.11834     3.8737E-02 -1.4542E-01 -5.5802E-01
   104.83677    39.39499     2.61595     3.2972E-01 -1.1850E-01 -1.6960E-01
    97.63867    37.82355    -2.75080     1.3589E-01 -4.1148E-02 -1.3964E-01
    67.73314    74.49812     5.99961     1.9699E-01  1.1251E-01 -2.2018E-03
   107.02852    42.15155     4.50756     1.7941E-01  1.5597E-01  1.3390E-01
   127.62296    40.19088   -12.72992     3.0448E-01  6.2192E-02 -5.6524E-02
   110.94010    39.91759    14.09526     2.7409E-01  7.8590E-02 -4.6403E-03
   110.70462    72.49444    24.46328     2.1761E-01  7.9652E-02 -5.2770E-03
   108.91913    33.42614    -1.63074     3.1445E-01  6.4503E-02  2.1115E-02
    42.07201    12.89790    46.80786     1.2846E-01  4.5878E-02  7.9063E-02
   101.05275    39.18254     3.31499     4.2774E-01  3.1396E-01  5.1524E-02
   106.34101    40.35793     6.84007     1.5471E-01  1.3207E-01 -9.5225E-02
   107.42780    43.18497     3.20738     1.6964E-01  1.2025E-01  6.9758E-02
   102.37984   171.78207   187.03993     2.1304E-01  3.5147E-01  3.8172E-01
   101.09454    40.75259     4.15622     3.4138E-01  1.9421E-01  1.2783E-01
   106.57532    43.85481     5.62680     3.1001E-01  1.3638E-02 -8.6007E-02
   106.86857    40.78599     3.47313     1.3493E-01  1.4120E-01  1.1077E-01
   105.30550    40.63523     4.18610     1.2442E-01  1.4260E-01 -3.2961E-01
   108.93389    39.01930     9.02133     1.2387E-01  7.4000E-02  8.6670E-03
   115.48975    41.75816    44.01976     1.9626E-01  9.6102E-02 -4.8789E-02
   105.33726    40.03792     4.30386     2.1271E-01 -1.0409E-02 -6.7056E-02
   104.43485    41.64107     5.03386     3.5603E-01  2.7430E-02  4.5313E-02
   107.73217    39.96187     2.05585    -3.8791E-02  1.2211E-01  1.5536E-01
   105.01786    42.41928     4.81734     1.5307E-01 -3.9387E-02 -1.1518E-02
    74.84768    17.56654    93.06099     1.6289E-01  4.8742E-02  1.5899E-01
   105.35188    46.28733    18.58975     2.0733E-01  8.5176E-02  6.5428E-02
   128.63003   119.32744   -87.76359     3.1376E-01  4.1141E-01 -3.7223E-01
   108.42525    37.94978    15.59786     1.9663E-01  1.0622E-01 -5.5208E-03
   105.75374    41.17803    -0.72005     2.7341E-01 -8.6147E-03 -1.6403E-01
   106.55863    40.63107     3.24857     2.0415E-01 -5.5849E-02 -1.6261E-01
   101.77381    39.80190     6.13282     3.8322E-01  1.4504E-01  6.2788E-02
   105.53871    40.29271     6.89718     1.6151E-01  1.2591E-01 -2.0659E-02
   155.93408    50.29473   132.04122     3.1206E-01  1.0022E-01  2.5348E-01
   290.35516   -86.11194  -163.94252     5.9328E-01 -1.6691E-01 -3.2402E-01
   101.30950    39.03681    -2.27195     1.8199E-01 -1.9662E-02 -7.4906E-02
   104.90641    42.46802     3.19397    -1.3587E-02  1.9519E-01 -6.3382E-02
   -34.89917    91.60273    40.85688    -5.5715E-02  1.8714E-01  8.0165E-02
   100.09382    31.42690     7.12822     2.2965E-01  1.0624E-01 -6.8027E-03
   104.17316    38.58230     7.03450     2.1258E-01  3.0558E-01 -1.6639E-01
   106.29504    44.81864     4.52928     4.5476E-01  1.5558E-01  3.2879E-02
   107.93053    41.64546     5.55263     2.5144E-01  6.1317E-03 -1.3283E-01
   132.60888    24.30839    16.21086     3.6792E-01 -2.7574E-02  8.2289E-02
   102.37249    41.68641     2.95044     3.3517E-01  1.3898E-01 -1.0989E-01
   105.39701    40.59947     3.99061     8.1860E-02  8.5128E-02 -1.0868E-01
    92.01944    48.47655    19.80589     1.9102E-01  1.1011E-01  3.8509E-02
   290.56743   200.40456  -102.83904     5.9195E-01  4.1050E-01 -2.0183E-01
   310.93567    97.08029   -18.88296     6.2702E-01  1.9430E-01 -2.9354E-02
