 # t =    110.00000163912773     
 x   y   z   vx   vy   vz
    34.90509     1.73712     4.53160     2.2684E-01  1.2931E-01  4.4017E-02
    25.58976     7.81933    -1.04972     3.7037E-01  3.6989E-01 -3.1214E-01
    48.20810    -8.12938    24.01987     3.8464E-01 -2.4235E-02  2.0300E-01
     2.71507    19.50655     4.43971     8.3478E-02  1.6995E-01  6.0197E-02
   -44.85737    20.13955    14.77268    -3.9532E-01  2.0191E-01  1.5359E-01
    28.06662     4.90525     6.96692     3.2236E-01 -1.3896E-02  1.3977E-01
    10.21418     9.60116    -2.07917     1.3700E-01  1.2395E-01 -4.1831E-02
    24.81197     7.44857    -3.46856     2.7260E-01 -1.4057E-01  2.9529E-02
     0.78987    -0.15388    -4.86856     5.5650E-02  2.8841E-02  1.8410E-03
    25.00486     8.09904    -1.98810     5.4538E-02  6.6802E-02  6.9094E-02
    25.51315     9.61748     9.93944     2.1501E-01  6.0951E-02 -3.7385E-02
    12.77371    29.46054    37.45727     1.1505E-01  2.5759E-01  3.4236E-01
    58.52458    13.36958    16.82154     4.6147E-01  1.2694E-01  1.5980E-01
    21.65717    10.54377    -0.52014     1.9531E-01  6.6093E-02 -2.8435E-03
    23.01736    11.43758     8.85155     2.2632E-01  1.0864E-01 -5.7220E-02
     4.51486    11.50875    15.94886     8.8759E-02  1.4202E-01  1.3334E-01
    25.42199     7.96198     0.31399     9.7390E-02  5.0837E-02  3.9785E-03
    23.47852     7.36875    -1.50047     3.5809E-01 -2.0038E-01 -6.6026E-02
    24.11552     9.11825    -0.37130    -8.9668E-02 -3.3023E-02  4.9125E-02
    40.45234    27.16792    -2.20376     2.9617E-01  2.0803E-01  1.0138E-02
    18.32491     5.21672    -4.33541     2.4182E-01  1.6707E-01  1.4045E-01
    22.07606     7.14102    -1.23489     3.7836E-01  2.6572E-01 -1.4482E-02
    25.51607     8.57529    -1.28962     8.8121E-02 -2.0879E-01 -3.1639E-01
     2.51381    12.85920    19.35281     6.1327E-02  1.1695E-01  1.6420E-01
    37.14681     7.53878   -11.90283     2.4392E-01  1.0220E-01 -5.1884E-02
    23.86640    11.42953     2.02840     7.5053E-02  1.1996E-01  1.5237E-01
    23.24115    10.62177    -0.86934     2.5033E-01  1.9576E-01 -1.5862E-01
    23.51259     6.13310    -3.62910     1.8937E-01  1.3819E-01 -1.1264E-01
    33.40338    17.59720    16.47057     2.2602E-01  1.4165E-01  1.2073E-01
    24.11661     8.41394    -0.58125     1.3904E-02 -1.6967E-01  1.6425E-01
    24.49815     6.49684    -1.22451     1.5395E-01 -1.1003E-01  1.2313E-01
    27.16652     5.80938     3.99061     2.4683E-01  4.6563E-02  1.8793E-01
     5.68418   -18.68008   -67.24685     3.3536E-02 -1.4937E-01 -5.6923E-01
    23.50883    13.22994     1.21915     1.6507E-01  1.7484E-02 -2.3649E-02
    39.17926    -1.69086    -4.45016     2.9099E-01  8.5172E-02  4.1363E-02
     7.02598    21.35740     5.10099     1.0819E-01  1.8747E-01  1.5280E-02
    25.47630     9.24010    -0.63338     3.5381E-02  1.3694E-01  1.9637E-01
     6.24863     0.30168     8.36023     1.9885E-01  1.0297E-01  2.6270E-02
    27.82382     7.59926     0.92350     9.3905E-02  1.6098E-01 -2.1856E-01
    27.47731    25.01310    13.84675     2.2968E-01  1.9059E-01  7.7920E-02
