 # t =    140.00000208616257     
 x   y   z   vx   vy   vz
    41.14809     5.96946     5.52372     1.8889E-01  1.5238E-01  2.1530E-02
    30.91377    16.61321    -5.35773     1.3671E-01  2.0241E-01 -4.2646E-02
    59.70534    -8.80485    30.02441     3.8221E-01 -2.0976E-02  1.9753E-01
     5.44009    24.50410     6.19857     9.7496E-02  1.6351E-01  5.7202E-02
   -56.67563    26.19024    19.37145    -3.9273E-01  2.0149E-01  1.5303E-01
    37.30527     4.94512    10.24595     2.9587E-01  1.3619E-02  8.6078E-02
    14.96549    13.26056    -3.27040     1.7828E-01  1.2021E-01 -3.7036E-02
    31.23722    10.22672     1.43376     1.4717E-01  3.4794E-01  9.2344E-02
     2.68649     0.79557    -4.78454     7.0052E-02  3.4178E-02  3.6605E-03
    31.45191    11.25633    -1.32786     2.0580E-01 -2.0065E-02 -1.0372E-01
    31.86729    11.35691     7.55325     2.0686E-01  5.6411E-02 -1.3058E-01
    16.26227    37.14971    47.65251     1.1740E-01  2.5517E-01  3.3762E-01
    72.31329    17.15807    21.55025     4.5828E-01  1.2569E-01  1.5560E-01
    33.51495    10.23332    -0.86498     3.3451E-01  8.2492E-02  2.8473E-02
    30.09135    14.24818     5.77570     2.4446E-01  7.0680E-02 -1.6146E-01
     7.36222    15.75358    19.81078     1.0066E-01  1.4104E-01  1.2450E-01
    31.38354    11.47920    -0.43747     1.9355E-01 -7.7222E-03  2.1152E-01
    33.92080     9.96611    -0.97676     2.0577E-01  2.6363E-01  6.6501E-02
    31.50804    11.04676    -1.45457     4.3842E-01  3.1642E-01  8.5347E-02
    49.20565    33.21520    -1.88974     2.8794E-01  1.9566E-01  1.0769E-02
    28.52515    11.37101     0.52567     5.2026E-01  2.4856E-01  1.4390E-01
    34.61614    12.86798    -0.08756     2.3920E-01  5.7228E-02  4.8255E-02
    27.17419     7.33297    -4.97690     1.0320E-01  5.2419E-02 -2.5151E-02
     4.48825    16.34193    24.16391     6.9845E-02  1.1533E-01  1.5695E-01
    44.09010    10.61188   -13.14180     2.2047E-01  1.0217E-01 -3.0904E-02
    27.52164    12.68639     3.37332     1.8408E-01 -1.0329E-02 -5.5170E-02
    31.58651     9.39231    -0.21094     1.3464E-01  1.7591E-02  2.4603E-01
    31.14211    12.43882     0.00300     2.7908E-01  8.0493E-02  3.7016E-01
