 # t =    340.00000506639481     
 x   y   z   vx   vy   vz
    67.40556    21.68066    -6.44226     2.5350E-01  5.4965E-02  2.3494E-02
    77.59368    30.67969     0.59914    -2.3636E-02  1.6517E-01  2.8525E-02
   135.63887   -11.85001    66.38602     3.7504E-01 -1.2081E-02  1.6955E-01
    30.50173    54.47311    16.35218     1.4545E-01  1.3886E-01  4.5154E-02
  -134.37441    66.33096    49.79280    -3.8582E-01  2.0011E-01  1.5149E-01
    88.89975    16.00555    14.10176     2.2731E-01  7.9932E-02 -3.0888E-02
    76.38912    29.21347     4.62428     2.2800E-01 -5.9604E-02  3.2786E-01
    74.72901    27.38558     1.35251     2.7852E-01  7.4783E-02  2.0939E-01
    22.39385     9.49937    -3.44836     1.2053E-01  4.8634E-02  8.3270E-03
    74.29961    31.82717     2.41430     2.3236E-01  8.4613E-02 -6.6460E-02
    74.88592    28.20462     4.39722     3.5222E-01 -2.0141E-01  1.0236E-01
    40.57322    87.30922   113.54437     1.2392E-01  2.4777E-01  3.2412E-01
   162.90806    40.78339    49.88413     4.4578E-01  1.1299E-01  1.3315E-01
    70.51589    29.52356     3.05935     1.6772E-01  6.2327E-02  3.4665E-02
    72.51174    27.24200     1.08221     2.9682E-01  3.3079E-01  1.9542E-01
    32.13071    42.84775    40.99039     1.3915E-01  1.2985E-01  9.2739E-02
    73.31537    30.56110     2.76123     1.8315E-01  2.1163E-01  1.1947E-01
    70.39781    28.31802     2.41992     2.7873E-01 -5.3206E-02 -1.8560E-02
    72.67632    30.55391     3.50801     2.0501E-01 -1.2728E-01 -1.8687E-01
   103.99840    66.53951     0.39525     2.6193E-01  1.4304E-01  1.1622E-02
    74.90540    34.27600     9.17073     3.2007E-01  1.5684E-01  8.1996E-02
    74.14514    32.53991     1.15465     3.2863E-01  1.0563E-01  9.2159E-03
    68.67811    32.68419     4.72761     1.6137E-01  1.7500E-01  9.5889E-02
    21.64619    38.74566    52.86878     9.6729E-02  1.0904E-01  1.3395E-01
    76.32323    30.38384    -3.08895     6.1710E-02  8.8301E-02  2.1760E-01
    69.15085    31.80451     7.93787     1.4681E-01  2.7146E-02  4.5493E-02
    72.07372    31.61523     4.38644     2.1301E-01  2.0345E-01 -1.0659E-01
    71.26932    28.88163    -0.62603     2.6225E-01  1.5719E-01  3.3802E-02
    82.23870    44.24980    32.95491     2.0394E-01  9.3605E-02  3.2335E-02
    72.59948    32.91498     5.53374     1.7139E-01  1.1112E-01  1.0512E-01
    74.23700    29.33816     2.17330     3.0545E-01 -1.7604E-01  1.7186E-01
    76.83252    29.46733    -4.25215     2.0158E-01  7.8028E-02  1.6925E-01
    14.08582   -52.53328  -196.86537     3.8160E-02 -1.4600E-01 -5.6008E-01
    71.81559    29.10624     1.80477     5.3156E-02 -1.1763E-01 -1.2300E-01
    90.74569    26.04745     5.76770     1.4957E-01  1.3446E-01  3.0721E-02
    41.35916    57.37321     6.21472     1.7773E-01  1.3310E-01 -7.0233E-04
    73.64324    31.34513     3.46406     2.8423E-03 -1.2573E-02 -4.8272E-02
    77.82821    30.98175    -0.12909     4.9433E-01  8.4249E-02 -1.8377E-01
    78.00038    31.69689    -6.14996     1.5722E-01  8.7425E-02  3.0469E-02
    79.73857    59.06171    23.71356     2.2463E-01  1.1323E-01  1.6883E-02
    83.12256    33.81438     6.89598     1.3409E-01  1.2697E-01  3.5295E-02
    24.86252     6.36500    34.81902     1.1572E-01  4.6666E-02  9.2105E-02
    60.94173    11.81646     0.22473     2.3452E-01  1.4934E-01  1.6665E-02
    73.43815    31.87159     1.22138     2.0089E-01 -1.8766E-01  1.5774E-01
    75.05987    30.99008     2.15934     2.9029E-01  3.6645E-01  1.3292E-01
    72.54722   122.46038   133.45563     2.1310E-01  3.5335E-01  3.8403E-01
    76.53003    29.09368     1.06403    -3.5082E-03  1.2656E-02 -4.0663E-02
    76.17292    32.88963     2.93974     3.1708E-01  6.5790E-02 -3.0399E-02
    74.00897    31.00753     3.71635     1.9358E-01 -2.8552E-02 -1.7030E-01
    73.92011    30.57421     3.15410     4.0488E-01 -1.3617E-01 -1.8544E-01
    73.08201    29.53103     4.50239    -9.6199E-02  4.8280E-02  1.4184E-01
    87.35165    28.06911    48.86482     2.0527E-01  9.9730E-02 -2.0580E-02
    73.59154    30.62308     1.77010     2.8672E-01  1.3870E-01  1.8050E-01
    72.31157    30.62933     1.89950     2.1682E-01  9.5760E-02  8.1905E-02
    77.97069    31.01440     0.83472     4.6223E-01  7.0824E-02 -1.0920E-01
    74.87587    31.09866     2.10897     1.2283E-01  3.9058E-02  1.7199E-01
    52.15160    10.70560    70.05673     1.6066E-01  4.9186E-02  1.7076E-01
    70.31616    24.52798    -7.69549     2.7934E-01  1.6329E-01  1.2774E-01
    84.55074    61.27092   -35.23216     3.1640E-01  4.2048E-01 -3.8036E-01
    69.99182    35.81327    -1.47907     3.1645E-01 -5.8947E-02  5.2959E-02
    73.94169    34.17548    -0.68537     2.2431E-01 -1.3412E-01  8.1201E-02
    72.46296    30.54026     2.63724     2.1516E-01  2.7453E-01  2.2221E-01
    74.95450    30.80749    -1.83033     9.6905E-02  3.2143E-02  7.1191E-02
    74.50267    29.85055     3.13541     1.0051E-02  2.7074E-01  1.3318E-01
   112.07300    36.18554    96.18826     3.1474E-01  1.0153E-01  2.5948E-01
   207.18323   -62.69401  -118.49124     5.9513E-01 -1.6776E-01 -3.2551E-01
    76.74390    25.89851     6.64525     3.0564E-01  4.3782E-02  1.4894E-01
    73.76546    29.25487     3.03421     5.0682E-01 -1.6539E-03  6.3079E-03
   -26.77659    65.19415    29.51248    -6.0854E-02  1.9020E-01  8.1987E-02
    76.89948    38.80906    -1.15533     1.9743E-01 -1.1003E-02  6.0221E-02
    75.39790    23.44786     5.59733     2.2935E-01 -4.8407E-02  1.1580E-01
    68.39386    30.70140     2.42978     3.0525E-01  2.1587E-01  2.7794E-02
    76.70591    29.96235     2.10758     6.4233E-02  4.1476E-02 -1.4823E-01
    73.44387    30.89828     1.95310     4.7645E-01  6.8710E-02  4.7998E-02
    73.52830    30.09406     3.86454    -6.1669E-02  7.0988E-02 -7.1606E-02
    73.45990    30.56361     3.54149     3.1625E-01  9.8436E-02  1.5204E-01
    72.52516    29.66937     4.70722    -1.5532E-02  1.4848E-01  3.2743E-01
   207.60105   142.84735   -74.53464     5.9347E-01  4.1195E-01 -2.0262E-01
   222.96779    69.80694   -14.75788     6.3007E-01  1.9552E-01 -2.9600E-02
    68.29123    27.25484     4.43069     1.2981E-01  1.4210E-01  5.0172E-03
    71.90692    31.35545     0.73362     2.4220E-01 -1.8540E-02  7.8497E-02
    71.02637    32.35317     1.37231     1.2087E-01  2.7595E-01  4.6955E-02
    77.22053    32.39644     3.30280     4.2346E-01  2.1163E-01  2.3129E-01
    49.96530   -43.98457     3.30960     1.6421E-01 -7.9167E-02  2.0793E-02
    75.07379    31.86844     1.95739     1.9958E-01  1.9990E-01  1.6404E-01
    74.29993    30.79341     2.88554     4.4043E-01  3.0905E-01 -2.3348E-02
    73.08632    29.69141     2.88936     3.2369E-01 -5.6826E-02  3.3905E-01
    73.77862    30.63539     0.54495     4.7891E-01 -2.5657E-02  9.5442E-02
   241.98705   -98.42899    51.47594     6.9577E-01 -2.7082E-01  1.5463E-01
