 # t =    80.000001192092896     
 x   y   z   vx   vy   vz
    27.52623    -1.73780     2.89678     2.6601E-01  1.0093E-01  6.5071E-02
    14.23161     2.96938     3.17627     3.2170E-01  8.4163E-02 -3.7482E-02
    36.59933    -7.33580    17.82220     3.8994E-01 -2.9105E-02  2.1075E-01
     0.48856    14.28261     2.57407     6.3603E-02  1.7892E-01  6.4491E-02
   -32.94138    14.07327    10.15287    -3.9945E-01  2.0256E-01  1.5448E-01
    17.79361     6.03394     0.24764     3.4265E-01 -5.1516E-02  4.1807E-01
     6.86993     5.83057    -0.81837     8.2052E-02  1.2682E-01 -4.1216E-02
    18.18003     6.22644     1.40310     1.4962E-01  2.7853E-01 -4.4090E-02
    -0.59001    -0.91081    -4.88269     3.4869E-02  2.1041E-02 -1.3052E-03
    17.82918     5.51693    -1.58866     2.2936E-02  1.2548E-01  8.7400E-02
    19.00263     7.66665    10.04285     2.1856E-01  6.9508E-02  2.9061E-02
     9.36879    21.67996    27.08499     1.1170E-01  2.6147E-01  3.4978E-01
    44.58173     9.54020    11.95153     4.6903E-01  1.2845E-01  1.6521E-01
    20.45227     3.54764    -2.36636     1.1853E-01  2.4605E-01  8.5373E-02
    16.44921     7.90090     9.51109     2.1198E-01  1.2567E-01  1.1528E-02
     2.07932     7.22629    11.77350     7.2485E-02  1.4357E-01  1.4591E-01
    16.89962     5.55948    -2.28789     1.2435E-01  1.6256E-01 -1.2414E-01
    19.92668     9.09411    -0.31489     8.9667E-02  1.5668E-01  2.8182E-02
    18.43841     4.75014    -2.46591     4.8905E-01  1.1636E-01 -1.3910E-01
    31.38941    20.68878    -2.49505     3.0907E-01  2.2500E-01  9.2075E-03
    12.41771     0.97059    -7.68695     1.6145E-01  1.1872E-01  8.3081E-02
    15.73549     2.60306    -1.04426     7.9513E-02  3.5014E-02  9.2923E-03
    18.14229     9.96619     3.83417     2.7435E-01  4.7513E-02 -6.9702E-02
     0.84751     9.31564    14.27807     4.8830E-02  1.1952E-01  1.7492E-01
    29.37913     4.53442    -9.96336     2.7567E-01  9.7857E-02 -7.8389E-02
    18.50781     2.68344    -3.95154     3.3536E-01  2.8851E-01  4.9844E-02
