 # t =    200.00000298023224     
 x   y   z   vx   vy   vz
    49.39834    16.40408     4.80709     6.4193E-02  1.9496E-01 -6.3150E-02
    40.28124    22.51009    -2.98838     1.9644E-01 -7.1187E-03  1.1418E-01
    82.59955    -9.92012    41.58531     3.8137E-01 -1.6528E-02  1.8771E-01
    11.91816    34.01651     9.49389     1.1713E-01  1.5412E-01  5.2898E-02
   -80.13482    38.26191    28.53105    -3.8954E-01  2.0094E-01  1.5235E-01
    54.12070     6.80118    13.78644     2.6755E-01  4.5176E-02  3.7561E-02
    27.78238    20.18802    -5.03478     2.4787E-01  1.1007E-01 -2.0310E-02
    43.87965    15.56228     1.41408     2.3162E-01  2.4108E-01  2.8733E-01
     7.52938     3.07754    -4.48854     9.0007E-02  4.1296E-02  5.9906E-03
    43.26138    17.83910     1.27689     2.8847E-01  2.6197E-01  1.7423E-01
    41.29252    20.14897    -6.50686     1.5504E-01  1.9362E-01 -9.5058E-02
    23.41008    52.35800    67.71313     1.2059E-01  2.5202E-01  3.3159E-01
    99.75798    24.57272    30.60611     4.5666E-01  1.2084E-01  1.4584E-01
    41.53081    17.29131     0.46667     5.0319E-01  6.8770E-02  1.1252E-02
    42.25429    11.16338    -6.32709     1.7534E-01 -1.0190E-02 -6.2243E-02
    13.96666    24.12656    26.84714     1.1790E-01  1.3771E-01  1.1097E-01
    43.67684    18.05310    -0.14658     3.3361E-01  1.3782E-01 -4.6735E-02
    42.46368    14.96016    -0.12334     4.6580E-01  1.6389E-01  3.5266E-02
    44.69075    17.32244    -0.64153     1.9196E-01  2.8237E-01  2.0933E-01
    66.16228    44.35995    -1.21983     2.7830E-01  1.7656E-01  1.1422E-02
    51.89652    17.28099    -4.20572     2.3669E-01  5.8993E-02 -6.7473E-02
    41.05653    18.06251    -0.53712     4.3662E-01  9.9250E-02  6.1379E-02
    38.95253    15.27191    -1.52049     3.2376E-01  2.1190E-01  1.3544E-01
     9.05127    23.19230    33.26785     8.1395E-02  1.1315E-01  1.4727E-01
    56.27250    16.76545   -13.80352     1.8715E-01  1.0266E-01  8.7217E-03
    47.53499    20.09970    -0.63199     1.9061E-01  1.7478E-01  1.0149E-01
    44.21688    15.65768     0.59558     8.2140E-02  1.2984E-01  2.4967E-01
    44.14295    19.95485    -1.61396     2.4467E-01  1.2070E-01  1.1606E-01
    53.04027    29.31276    25.30153     2.1299E-01  1.2024E-01  7.8884E-02
    42.60804    12.96032    -0.15108     2.2414E-01  1.0391E-01 -1.3312E-02
    43.15594    17.93349     0.86778     3.3389E-01  1.8610E-01 -3.0195E-01
    44.18375    15.99803     6.35356     1.4774E-01  1.6618E-01 -1.4744E-01
     8.84563   -32.01547  -118.21043     3.6367E-02 -1.4730E-01 -5.6401E-01
    42.00207    18.41964     1.07963    -1.2539E-01  1.8062E-01  9.7483E-02
    62.75540     7.77318    -0.26408     2.3704E-01  1.2104E-01  4.9357E-02
    18.57664    36.90312     5.94899     1.4481E-01  1.6054E-01  5.3158E-03
    42.88475    18.04381     1.33282     1.6948E-02 -3.5777E-02 -5.8626E-02
    26.69928    10.56000     9.46509     2.5728E-01  1.2516E-01 -2.8212E-03
    34.17164    18.24009     0.99409     2.5194E-01  7.9562E-02  7.1435E-02
    48.02093    40.42105    19.34338     2.2750E-01  1.5456E-01  4.7318E-02
    39.30573    18.56354     0.95618     3.1994E-01 -1.1968E-01 -1.5321E-01
    10.05656     0.16479    21.05091     9.4026E-02  4.0461E-02  1.0508E-01
    32.44668    -5.06603    -1.82155     1.7920E-01  8.7432E-02  1.1033E-02
    41.65619    15.90958     0.23927     4.2922E-01  1.7868E-01  1.3813E-01
    42.18541    16.64501     0.91681     1.9033E-01 -1.5710E-01 -1.5204E-01
    42.74498    72.74308    79.37922     2.1233E-01  3.5748E-01  3.8928E-01
    39.56993    19.13447     2.48003     3.4417E-01  1.7477E-01  6.7611E-02
    44.24745    15.92783    -0.41152    -7.6040E-02  1.7716E-01  1.5811E-01
    43.52916    17.43149    -0.16110     2.6701E-01  7.6356E-02 -2.2998E-01
    40.72440    17.74052     0.60973     2.2332E-01  1.7605E-01  5.3249E-02
    48.97056    15.89652     3.10378     1.8579E-01  6.4757E-02  1.0117E-01
    58.33676    13.81219    49.69688     2.0788E-01  1.0327E-01  8.2824E-03
    43.66183    17.75208     1.17250     1.6059E-01 -8.3199E-02 -2.2830E-02
    43.26646    16.59443     1.60362     3.1167E-01  1.2464E-01  1.1200E-03
    39.04944    14.69641     1.05702     1.0498E-03  9.3151E-03  7.1661E-02
    43.52159    17.21199     0.24165     1.5516E-01  3.7432E-01  1.5932E-01
    30.15059     3.91729    44.91796     1.5254E-01  4.6913E-02  1.8991E-01
    36.02640     6.46157   -15.68225     2.1740E-01  1.0070E-01  6.7391E-03
    45.02482    16.58741     0.22429     3.0391E-01  2.7456E-02  1.4267E-01
    39.22333    24.08938     0.27974     1.2194E-01  2.3518E-01 -4.7554E-02
    44.30127    11.08698    -1.70983     1.7569E-01  2.1746E-01  1.3445E-01
    42.64459    17.49855     1.30766     3.3228E-01  1.6788E-01  2.5930E-01
    46.21008    18.38269     4.85447     2.6036E-01  1.1857E-01 -7.0704E-02
    42.23565    18.79615    -1.34429     3.0628E-01 -3.8601E-02  1.1761E-02
    67.79838    21.78020    59.00793     3.1734E-01  1.0458E-01  2.7364E-01
   123.59956   -39.04136   -72.62571     5.9939E-01 -1.7105E-01 -3.3126E-01
    43.35669    25.57298     2.15352     1.8120E-01  2.1724E-01 -1.6564E-02
    45.19563    17.62810    -0.47307     7.9872E-02  2.9448E-01  3.1781E-02
   -17.62766    38.30055    17.85592    -7.1217E-02  1.9429E-01  8.4846E-02
    42.73475    13.86094     2.16997     2.3143E-01  3.7413E-01 -1.2623E-01
    39.31888    24.18733     2.38724     1.6420E-01  2.1707E-01  8.4159E-03
    40.99087    16.58279     0.26577     1.0461E-02  3.5709E-01  2.5953E-02
    45.95229    16.71621    -1.58318     5.4712E-02  1.2139E-01  9.2724E-03
    42.19248    17.28728     1.55609     1.5053E-01  8.0439E-02 -1.5027E-01
    41.91296    17.04730    -0.73362     3.8355E-01  1.5990E-01 -1.0420E-01
    42.60438    16.71634    -0.00970    -1.0491E-02  2.5791E-02  4.3214E-02
    50.90579    24.89422   -14.89814     2.0990E-01  6.6304E-02  3.6338E-02
   124.30721    84.92674   -46.03609     5.9687E-01  4.1661E-01 -2.0507E-01
   134.25755    42.14994   -10.57083     6.3930E-01  2.0212E-01 -3.0410E-02
    44.61697    14.96601     1.31567    -9.2524E-02  1.8412E-01  6.2600E-03
    44.08648    18.47943     0.01929    -6.2840E-02 -6.0100E-02  4.4569E-02
    42.34338    13.84872    -2.84472     1.1756E-01  4.9908E-02 -8.7364E-02
    29.00623     8.17516     6.02512     2.2970E-01  1.0686E-01 -3.0685E-02
    28.18417   -31.51615     0.13575     1.4818E-01 -9.8897E-02  2.3441E-02
    43.65495    18.62302     0.14636     1.9429E-01  2.2036E-01  2.0271E-01
    41.78331    16.22532    -1.20100     2.7099E-01  1.2367E-01  1.2561E-01
    41.56054    16.70488    -0.36670     3.3705E-01  5.8196E-02  2.3757E-01
    41.27899    17.98782    -1.44167     4.2081E-01  2.0858E-02 -6.4246E-02
   144.29766   -60.30818    29.70879     7.0069E-01 -2.7508E-01  1.5711E-01
    43.77355    16.94198     0.38507     1.8117E-01  1.1664E-01 -4.3673E-02
   107.86944    18.42600    19.13367     4.9930E-01  9.8722E-02  9.4352E-02
    43.44031    16.22943     1.36133     8.4765E-02  6.5370E-02 -6.0589E-02
    48.43912    -6.90111    54.32130     2.2456E-01  1.1683E-03  2.4432E-01
    44.43537    17.41718     0.30359     3.8535E-01  3.0221E-01 -1.3851E-01
    42.64260    16.77963    -0.67384     2.2964E-01  4.1080E-02  3.2381E-02
