 # t =    160.00000238418579     
 x   y   z   vx   vy   vz
    44.64401     9.16269     5.77861     1.5981E-01  1.6692E-01  3.2676E-03
    33.69749    19.90387    -5.58706     1.4398E-01  1.3029E-01  1.6542E-02
    67.34232    -9.20688    33.94268     3.8158E-01 -1.9271E-02  1.9432E-01
     7.46657    27.73840     7.32609     1.0496E-01  1.6000E-01  5.5588E-02
   -64.51710    30.21790    22.42931    -3.9146E-01  2.0128E-01  1.5276E-01
    43.10336     5.35121    11.75536     2.8442E-01  2.6476E-02  6.5964E-02
    18.77497    15.63609    -3.96543     2.0238E-01  1.1725E-01 -3.2387E-02
    34.03395    15.75726    -1.19448     1.8016E-01  7.6593E-02 -2.3038E-01
     4.16565     1.50785    -4.70166     7.7657E-02  3.6968E-02  4.5967E-03
    34.43428    13.74780     0.98723     2.4653E-01  1.9441E-01  1.3691E-01
    35.84520    12.55426     3.79487     1.8577E-01  7.0498E-02 -2.6920E-01
    18.62307    42.24052    54.38040     1.1864E-01  2.5395E-01  3.3524E-01
    81.47027    19.66051    24.63335     4.5754E-01  1.2449E-01  1.5267E-01
    36.65981    13.12648    -0.17160    -6.1026E-02  1.9858E-01  3.0854E-02
    35.12064    14.73990     0.98738     2.5106E-01 -8.1878E-02 -3.6971E-01
     9.44549    18.56716    22.24902     1.0751E-01  1.4023E-01  1.1940E-01
    34.50402    13.64214    -0.72470     2.8295E-01  2.0691E-01 -1.2391E-01
    34.02560    14.87296     0.13271    -1.2455E-01  6.4685E-02  4.4827E-03
    35.57884    15.21063     1.10239     5.3543E-02  3.1904E-02  6.1975E-02
    54.92334    37.05828    -1.67117     2.8400E-01  1.8877E-01  1.1073E-02
    39.40113    14.64748    -0.26416     4.3109E-01  8.6539E-02 -1.2464E-01
    36.67620    13.30630     0.32931    -8.8503E-02  1.5988E-03 -2.5258E-02
    29.80939     8.98558    -4.84694     1.5993E-01  1.0920E-01  3.4573E-02
     5.93092    18.64007    27.26427     7.4295E-02  1.1451E-01  1.5320E-01
    48.37460    12.65836   -13.62508     2.0825E-01  1.0250E-01 -1.7537E-02
    32.80032    12.36441     0.72139     3.8912E-01  9.2817E-03 -2.2385E-01
    33.85903    13.41573     1.77782     1.6364E-01  3.0233E-01 -1.0514E-01
    35.28169    12.43434     2.96932     1.6050E-01  2.5644E-03 -4.1217E-02
    44.44875    24.33748    21.83044     2.1691E-01  1.2867E-01  9.5087E-02
    36.12006    16.28953    -0.95286     1.7495E-01  7.0940E-02  6.2067E-02
    35.71955    14.49956    -1.97288     1.5471E-01 -8.8616E-02  8.9553E-02
    37.52738    10.30838     8.57572     1.8207E-01  1.2098E-01  1.4050E-02
     7.40999   -26.11058   -95.61548     3.5362E-02 -1.4799E-01 -5.6582E-01
    38.15822     9.84910    -2.32417     2.7658E-01  1.0793E-01  1.2178E-02
    52.86773     3.17587    -2.20703     2.5807E-01  1.0803E-01  4.7480E-02
    13.04716    30.28510     5.67703     1.3117E-01  1.7069E-01  8.5008E-03
    33.67225    13.45535     0.66458     6.7261E-02 -1.6362E-02 -6.2119E-02
    16.96709     5.75620     9.29414     2.3000E-01  1.1515E-01  1.0965E-02
    26.91311    14.68383    -1.84278     1.0662E-01  1.0039E-01  6.3707E-02
    38.91226    33.96416    17.22929     2.2799E-01  1.6863E-01  5.8661E-02
    30.96908    20.51236     5.24185     1.5409E-01  9.3003E-03 -6.5389E-02
     6.47180    -1.38313    16.75165     8.4817E-02  3.6721E-02  1.1008E-01
    25.50134    -8.12752    -2.24080     1.6797E-01  6.5399E-02  9.9085E-03
    36.19422    14.00908     0.21081    -1.5703E-02  1.3140E-01 -2.1754E-01
    34.65501    11.89502    -1.01311     4.2987E-01  2.3915E-01 -9.8239E-02
    34.26519    58.40490    63.75654     2.1160E-01  3.5952E-01  3.9199E-01
    33.98105    11.64207    -1.62323    -1.1027E-01  7.6971E-02  3.4509E-02
    37.56828    14.02436    -1.01542     4.2133E-01  3.0670E-02 -9.5476E-02
    35.60940    13.78211    -1.00127     2.8108E-01  8.9339E-02 -1.7396E-01
    36.40918    14.65177     0.11865     4.2838E-01  1.2064E-01  1.5122E-02
    34.35975    13.86391    -1.46513     6.2462E-01  1.1525E-01 -5.5236E-02
    50.02242     9.68234    49.21539     2.0785E-01  1.0315E-01  1.5768E-02
    35.27174    13.50761     0.50549     1.6988E-01 -1.2155E-01 -2.1583E-02
    34.38149    12.69301     0.56325     3.3273E-01  6.9981E-02  5.1808E-02
    39.86394    17.66149    -0.23783     1.2948E-01 -1.7108E-03 -2.4684E-03
    35.05482    14.99058     0.68441     1.8735E-01  2.0268E-01  6.3305E-02
    24.11694     2.07702    37.16546     1.4905E-01  4.4952E-02  1.9808E-01
    27.60215     2.75954   -15.45392     2.0365E-01  8.4053E-02 -1.8466E-02
    36.23900    12.83899    -0.34889     8.4623E-02  9.3772E-02  2.0116E-01
    36.82634     9.89462    -1.10671     1.1509E-01  3.0790E-01  1.9183E-01
    36.81717     5.61387    -5.61160     1.9788E-01  7.4369E-02  6.2493E-02
    33.82134    13.71043     1.24605     3.4515E-01  1.2432E-01  6.0172E-02
    33.88390    13.01982     0.03821     2.2320E-01  1.0026E-01  4.4301E-01
    36.68051    11.08568    -0.61239     2.0039E-01  9.6445E-02  1.4195E-01
    55.09894    17.57631    47.93811     3.1768E-01  1.0559E-01  2.8007E-01
    99.60386   -32.14986   -59.29674     6.0014E-01 -1.7367E-01 -3.3536E-01
    35.06514    11.67772    -0.14692     3.2753E-01  4.1756E-01  2.8243E-01
    33.62866    15.55621    -0.35834     9.5887E-02 -1.9445E-02  1.0553E-01
   -14.68040    30.49608    14.43601    -7.6434E-02  1.9602E-01  8.6229E-02
    34.17026     3.50801     4.86175     2.0582E-01  1.9284E-01 -3.3998E-02
