 # t =    140.00000208616257     
 x   y   z   vx   vy   vz
    42.02861    10.70808     1.39142     1.2959E-01  2.1568E-01 -9.2341E-02
    38.03653    13.74861    -9.32329     2.7606E-01  1.1361E-01 -2.0208E-01
    64.42678    -9.65284    32.47937     4.1416E-01 -1.8413E-02  2.0379E-01
     5.78236    24.94827     5.60768     1.1552E-01  1.5939E-01  4.7427E-02
   -58.59558    25.65875    20.03746    -4.0259E-01  1.9772E-01  1.5678E-01
    40.85776     6.52552     7.34595     3.2685E-01  2.9734E-02 -6.4930E-03
    18.70852    12.90062    -3.93421     2.7050E-01  5.7450E-02 -4.5375E-02
    35.57091    12.76492    -5.81535     3.6186E-01 -9.1196E-02 -3.3302E-01
     5.28397     1.46753    -4.99696     1.2368E-01  4.6816E-02  3.6810E-03
    35.66106     8.69574    -5.67517     1.5290E-01 -2.6999E-02 -7.8775E-02
    33.94247    13.22401    13.94080     2.4566E-01  6.4925E-02 -3.7201E-02
    17.41783    39.42227    49.71779     1.2901E-01  2.6945E-01  3.4546E-01
    76.73677    20.10645    16.90549     4.8048E-01  1.4949E-01  9.5278E-02
    36.89189     9.26869    -6.18813     1.1117E-01  7.3006E-03  6.2806E-02
    28.72279    17.39749    13.22029     2.3840E-01  1.1070E-01 -3.1913E-02
    13.33844    15.78640    17.78049     1.6454E-01  1.3669E-01  8.5656E-02
    34.11045     9.46897    -6.52711     1.9662E-01  2.0305E-03 -2.4000E-01
    37.10686     5.75045    -6.19108     4.0679E-01 -3.3625E-02 -1.6348E-01
   -63.48386   -26.39878    -0.02706    -4.5470E-01 -1.6860E-01  1.4901E-02
    58.93081    33.53232    -4.01378     3.7184E-01  1.6928E-01 -8.9933E-03
    28.65976     7.83076    -0.47301     3.1563E-01  8.7387E-02  3.1096E-01
    39.96933    10.06209    -5.25525     4.1439E-01 -6.4727E-02 -1.0549E-01
    34.08343     5.07741    -6.97161     1.6871E-01 -9.6474E-02 -8.2375E-02
    -7.26677    22.34864    34.12215    -2.0678E-02  1.5733E-01  2.3723E-01
    45.58363    14.47972    -4.99758     1.6017E-01  1.2889E-01  1.2483E-01
    32.63799    11.44402     0.33907     2.1914E-01 -8.1561E-02 -1.3113E-01
    35.60243     7.09885    -3.10864     1.6334E-01  8.4848E-02 -4.7623E-02
    36.89125    12.34667    -5.56383     3.8155E-01  1.1187E-01 -4.0530E-03
    42.16419    20.80549    14.99299     2.3406E-01  1.0745E-01  3.0131E-02
    36.83453    10.55028    -5.41451     3.1113E-01  1.2781E-01 -2.1225E-02
    35.76750     9.53072    -5.60799     1.8315E-01 -2.4384E-01  4.5384E-02
    35.85584     8.77504    -7.65443     2.9458E-01 -6.8476E-02  4.9170E-02
     9.38558   -20.71978   -82.42262     5.6835E-02 -1.2788E-01 -5.4692E-01
    34.35248    12.26771    -1.92639     2.6658E-01 -1.8401E-01 -2.0251E-01
    44.12867    11.37207    -1.82098     1.2361E-01  2.5150E-01  3.7232E-02
    13.27873    25.82863     5.04381     1.6534E-01  1.5565E-01 -4.6658E-03
    36.55974     9.58819    -5.57164     3.5495E-01  8.4973E-02  1.2926E-02
    14.17324     3.94233     8.32152     2.5613E-01  1.1865E-01 -1.4923E-02
    29.58952     9.97380    -8.32897     5.7851E-02 -3.3467E-02 -1.0969E-01
    38.45819    26.72169    12.87574     2.6275E-01  1.2509E-01  1.1393E-02
    31.12221    16.76991     1.90943     1.8285E-01 -3.6191E-02 -1.3144E-01
    15.30879     1.99584     7.06956     2.1314E-01  9.6692E-02  3.3396E-02
