 # t =    110.00000163912773     
 x   y   z   vx   vy   vz
    36.57067     4.34752     3.11912     2.3352E-01  2.0056E-01 -2.5305E-02
    26.63211     7.33101    -0.04254     5.1390E-01  2.4818E-01 -2.7840E-01
    51.90140    -9.04476    26.25675     4.2136E-01 -2.2606E-02  2.1180E-01
     2.61891    19.93427     4.07005     9.4251E-02  1.7408E-01  5.4930E-02
   -46.46161    19.71504    15.31881    -4.0656E-01  1.9853E-01  1.5784E-01
    30.35078     5.89061     6.41346     3.7630E-01  9.1801E-03  8.5001E-02
    11.94084     9.75158    -2.45104     1.8045E-01  1.2670E-01 -4.8348E-02
    25.40201     9.83609     2.78254     2.8830E-01  2.2439E-01 -1.5144E-01
     2.21627     0.21980    -5.03965     8.4137E-02  3.7128E-02 -2.7707E-04
    27.34704     8.74069    -2.19564     2.1738E-01  8.1048E-02  5.3946E-02
    26.46857    11.09126    14.30623     2.5038E-01  7.7243E-02  1.6205E-02
    13.57168    31.27997    39.25242     1.2710E-01  2.7364E-01  3.5279E-01
    62.17639    15.58791    13.97809     4.9120E-01  1.5196E-01  1.0039E-01
    26.33740     9.01162    -0.45458     4.7255E-01  2.8006E-02 -2.4981E-01
    21.63888    13.76507    13.52523     2.3053E-01  1.3102E-01  1.4227E-02
     8.64855    11.56572    14.85998     1.4640E-01  1.4384E-01  1.0871E-01
    28.69530     8.98754    -1.24243     4.7134E-01  3.2425E-03  1.2853E-01
    26.33280    11.91461    -0.50853     1.8589E-01 -1.2136E-01 -1.0593E-01
   -49.79347   -21.32273    -0.47739    -4.5819E-01 -1.6990E-01  1.5130E-02
    47.56803    28.26695    -3.74260     3.8694E-01  1.8324E-01 -9.0369E-03
    18.89216     4.01621    -7.38355     2.4732E-01  1.4629E-01  9.9621E-02
    23.91947     7.16672    -1.61715     4.0355E-01  2.5745E-01 -4.7670E-02
    28.20527    11.12246     0.53015     2.9753E-01 -1.0072E-01 -3.1006E-01
    -6.53079    17.56921    26.88601    -2.8899E-02  1.6165E-01  2.4508E-01
    39.55083    10.20102    -8.44768     2.4313E-01  1.5357E-01  9.9641E-02
    26.83587    11.89094     1.19219     1.6807E-01  9.1268E-02  1.0109E-01
    26.55474    11.23749    -2.48117     4.1711E-01  3.7884E-03 -1.6363E-01
    26.04246     5.76242    -0.63740     2.9435E-01  1.0486E-01 -1.2760E-01
    34.92020    17.31740    13.68879     2.4971E-01  1.2622E-01  5.9287E-02
    26.25943     8.28777    -0.87035     1.6834E-01 -7.8667E-02 -1.7948E-02
    27.28223     7.76893    -0.86991     3.0570E-01  2.5549E-01 -7.2324E-02
    27.18581     9.15015    -0.88476     1.7182E-01  2.1656E-01 -3.8429E-01
     7.69613   -16.86027   -65.95292     5.5642E-02 -1.2956E-01 -5.5135E-01
