 # t =    60.000000894069672     
 x   y   z   vx   vy   vz
    22.35102    -3.00727     1.32292     3.1455E-01  9.2199E-02  7.6302E-02
     8.51588     1.37315     3.25948     2.6347E-01  6.4202E-02  2.7372E-02
    30.44689    -7.51344    15.02351     4.3619E-01 -4.2692E-02  2.4172E-01
    -0.89176    10.73502     1.03759     4.1437E-02  1.9435E-01  6.6482E-02
   -25.87662     9.75230     7.36571    -4.1856E-01  2.0006E-01  1.6060E-01
    14.07984     4.51611    -7.65785     1.6325E-01  1.4833E-01  2.9986E-01
     6.13793     3.28474    -0.19614     4.0619E-02  1.2768E-01 -3.7606E-02
    15.25119     1.30267    -1.49210     1.6814E-01 -4.5243E-02  2.9592E-01
    -0.62525    -1.18741    -4.88148     2.5640E-02  1.7519E-02 -6.7371E-03
    14.74564     3.75946    -1.66373     3.5753E-01  1.0748E-01 -5.6776E-02
    14.37867     6.85170    10.94207     2.3043E-01  9.1570E-02  1.1758E-01
     7.43990    17.34077    21.10424     1.1491E-01  2.8489E-01  3.7681E-01
    36.74483     7.82788     8.22411     5.2792E-01  1.5579E-01  1.4752E-01
    16.53954     2.07700    -4.14023     2.8647E-01  1.2470E-01 -4.1859E-02
    11.08227     6.62792    10.61521     1.8981E-01  1.5230E-01  1.0305E-01
     2.48592     4.25533     8.48385     9.5435E-02  1.4748E-01  1.4801E-01
    16.49446     4.07784    -1.87550     3.9924E-01  1.1688E-01  1.1851E-01
    15.58511     2.77331    -2.23248     5.2410E-01  3.5271E-01  1.2589E-01
   -26.66206   -12.74409    -1.24151    -4.6849E-01 -1.7384E-01  1.5442E-02
    27.45989    17.40002    -3.35311     4.0078E-01  2.6830E-01 -5.3871E-03
     9.91947    -1.46700   -10.21100     1.3210E-01  7.6831E-02  1.3000E-02
    16.09049     5.54836    -2.20498     1.3935E-01 -1.6561E-01  8.6734E-02
    13.18275     8.74744     5.19133     2.7543E-01  1.2151E-01  1.1764E-02
    -4.56000     9.30327    14.29012    -5.2809E-02  1.6875E-01  2.6050E-01
    24.01369     3.11350    -7.97203     3.2862E-01  1.1046E-01 -9.8639E-02
    12.41040    -1.08128    -3.44923     3.0631E-01  1.2103E-01 -5.8947E-02
    15.12648     4.47642    -3.81859     3.7318E-01 -3.6424E-02 -1.1584E-01
    14.92748     5.50707    -4.30192     2.6527E-01  2.5198E-01 -5.8141E-02
    21.96556    10.04230     8.70495     2.6317E-01  1.6384E-01  1.4315E-01
    13.07924     3.79801    -0.43624     1.4770E-01  1.1912E-02  3.6692E-02
    15.12014     1.92109    -2.30855     1.4377E-01  1.7343E-01  1.4618E-01
    12.63881     5.26462    -3.77780     2.6971E-01  7.9324E-02 -3.3384E-02
     5.02726   -10.26118   -38.10013     5.0041E-02 -1.3529E-01 -5.6443E-01
    13.95148     1.00000    -3.56369     3.5228E-01  2.8617E-01  1.2177E-01
    23.20031    -3.84077    -5.68625     3.3791E-01  8.3478E-02  4.0015E-02
     2.88918    11.01215     4.12955     8.1100E-02  2.1239E-01  3.1616E-02
    15.43963     3.90722    -2.74849     3.1757E-01  2.3161E-01  2.1837E-01
    -2.69848    -4.44492     6.61114     1.7263E-01  8.9680E-02  4.1544E-02
    16.43800     1.59465     5.82846     2.8825E-01  1.0067E-01  3.2754E-03
    16.92204    13.70434     8.83904     2.6403E-01  2.0617E-01  1.0140E-01
    17.83142    10.07849     4.15447     1.5398E-01  1.8753E-01  7.4192E-02
     2.74590    -3.60007     1.09897     1.0172E-01  4.1889E-02  9.4464E-02
    10.88521   -11.72392    -3.82231     1.5051E-01 -3.0803E-02 -2.1674E-02
    14.16335     3.55492    -2.70464     5.6428E-02 -2.1459E-01  1.6174E-01
