 # t =    230.00000342726707     
 x   y   z   vx   vy   vz
    47.17490    21.18854   -13.36443     5.6560E-02  1.4366E-02 -1.7994E-01
    57.11466    15.41527   -17.57220     1.6255E-01 -5.7762E-02 -3.3530E-03
   101.13331   -11.05800    50.26874     4.0331E-01 -1.3835E-02  1.9339E-01
    17.46284    36.96067     9.03164     1.3521E-01  1.1249E-01  3.1017E-02
   -94.48070    43.35751    34.04539    -3.9571E-01  1.9569E-01  1.5472E-01
    66.21737    10.16679     1.87158     2.4525E-01  4.5876E-02 -9.9763E-02
    45.20518    10.55898    -6.70143     3.4926E-01 -5.3267E-02 -4.5721E-02
    56.18263    -0.54219   -12.99275     1.5571E-01 -4.2362E-02  1.4704E-02
    20.11823     8.86031     6.19850     1.1442E-01  8.9288E-02  2.0248E-01
    53.55963     9.56973   -11.65590     2.1735E-01  1.3255E-01  3.0142E-02
    54.89286    17.76455     6.22655     2.2334E-01  3.6262E-02 -1.2559E-01
    29.08942    63.33975    80.24497     1.2987E-01  2.6296E-01  3.3483E-01
   119.23064    33.36756    25.15376     4.6637E-01  1.4577E-01  8.9161E-02
    51.11231     9.82833    -9.98208     1.1365E-01  1.3509E-02 -4.6709E-02
    49.85575    25.06544     6.91649     2.3248E-01  6.3922E-02 -9.7531E-02
    28.69409    26.72439    22.96729     1.7004E-01  1.0943E-01  3.8862E-02
    54.86580     9.39355   -11.73725     1.0356E-01  6.8397E-02  1.7188E-01
    49.73064     7.87635   -10.25962     1.5762E-01 -1.5812E-01 -1.0376E-01
  -104.08368   -41.44844     1.29797    -4.4827E-01 -1.6603E-01  1.4495E-02
    91.29575    47.80124    -4.83314     3.5084E-01  1.5093E-01 -9.3870E-03
    57.53642    15.55325    19.79977     3.1439E-01  8.2003E-02  1.8597E-01
    51.55830    10.79749   -10.86657     6.1492E-02  2.8265E-01 -5.7873E-03
    57.37559    14.32513   -12.07201     1.9747E-01 -3.8229E-02 -1.0743E-01
    -8.56478    36.16649    54.62881    -1.0556E-02  1.5022E-01  2.2037E-01
    53.49782    20.85225     3.53475     5.7682E-02  2.6900E-02  5.3894E-02
