 # t =    30.000000447034836     
 x   y   z   vx   vy   vz
    12.08285    -4.61258    -1.41648     3.7988E-01  9.4967E-04  1.0683E-01
     2.16055    -0.12492     1.36561     1.5250E-01  3.5406E-02  1.0200E-01
    17.22153    -5.90098     7.36130     4.4870E-01 -6.6525E-02  2.7186E-01
    -1.33338     4.60589    -1.06818    -2.0854E-02  2.1720E-01  7.4456E-02
   -13.08877     3.72713     2.49808    -4.3725E-01  2.0198E-01  1.6462E-01
     9.44552     0.00347   -14.60754     1.5158E-01  1.4805E-01  1.8148E-01
     7.35985    -0.18766    -0.08354    -1.5099E-01  7.9446E-02  9.0602E-02
     7.19984     3.42219    -2.33312     2.3064E-01  7.8664E-02 -1.7577E-01
    -0.47532    -1.42626    -4.53491    -4.6720E-02 -4.0112E-03 -1.9598E-02
     8.53532     0.21061    -2.34191     3.2827E-01  9.4483E-02 -3.5279E-02
     7.67406     3.87490     6.32698     2.1630E-01  1.1196E-01  1.9866E-01
     4.28617     8.63078     9.45263     9.5518E-02  2.9973E-01  4.0439E-01
    20.86508     3.30622     3.14879     5.3736E-01  1.4866E-01  1.8491E-01
     6.80717     3.29196    -0.26520     2.1960E-01 -1.0715E-02 -2.1608E-02
     5.81608     1.88816     6.47970     1.6021E-01  1.6431E-01  1.8123E-01
     0.40871    -0.14277     3.48686     3.4851E-02  1.4360E-01  1.9086E-01
     7.08171     0.56699    -1.90717    -3.4463E-02  7.0801E-02 -8.8351E-03
     3.35585    -0.07049    -3.03403     2.5787E-01  7.1247E-03 -1.3712E-02
   -12.40307    -7.44869    -1.71026    -4.8533E-01 -1.8046E-01  1.5934E-02
    15.56884     8.73509    -3.19674     4.0394E-01  3.1381E-01 -5.6507E-03
     6.60687    -3.07400    -9.47072     9.0233E-02  2.5485E-02 -7.2350E-02
     9.01451     4.46289    -3.58592     2.7848E-01  1.9389E-01  8.5344E-03
     5.54669     4.16971     3.37860     2.2753E-01  1.8755E-01  1.1592E-01
    -2.56766     4.14735     6.20189    -8.5007E-02  1.7645E-01  2.8237E-01
    13.09971     0.06292    -4.22226     4.2860E-01  9.1529E-02 -1.5867E-01
     5.33227    -1.78569    -1.32697     1.4374E-01 -7.6082E-02 -6.1300E-02
     8.97480    -1.29382    -0.80055     1.1245E-01  1.5829E-01  1.4826E-01
     8.52615    -0.86278     1.14591     1.7281E-01  6.4351E-02 -5.3737E-02
    13.80486     4.73884     3.60363     2.9000E-01  1.9424E-01  2.0121E-01
     9.39635    -0.34407    -4.05185     3.0476E-01  1.3782E-01 -5.9224E-02
     7.07377     2.41022    -0.70763     2.7259E-01  1.4528E-01 -7.7122E-02
    10.78037    -0.92896    -1.35627     7.4072E-02  1.8592E-01  3.2328E-02
     3.63744    -6.09341   -20.92972     4.1421E-02 -1.4397E-01 -5.8373E-01
     5.09104    -3.73736    -5.03589     2.4217E-01  6.7007E-02 -9.9265E-04
    12.47758    -5.38040    -6.41384     3.8252E-01  1.1879E-02  1.6607E-03
     1.28743     4.24626     2.73283     1.7670E-02  2.4180E-01  6.7823E-02
     9.29492     1.61613    -1.28388     8.2048E-02  8.6033E-02  6.3656E-02
    -7.39803    -6.95868     5.17110     1.4011E-01  7.6077E-02  5.5347E-02
     7.71242    -0.88028     3.76670     2.8907E-01  6.2454E-02  1.4590E-01
     9.08858     6.90672     5.01794     2.6001E-01  2.5269E-01  1.6049E-01
    12.59969     3.36588     0.68840     2.1566E-01  2.6531E-01  1.6384E-01
     0.62142    -4.31801    -1.89619     3.0370E-02 -2.7203E-04  1.0509E-01
     6.66489    -9.94150    -3.08690     1.3029E-01 -9.6296E-02 -2.7652E-02
    10.83878     3.12782    -1.58042     2.3551E-01  1.8286E-01 -6.4334E-02
     9.55729     2.20873    -3.12738     1.4240E-01  1.2638E-01  1.9836E-01
     6.86892    10.72886    11.41235     2.0553E-01  3.8782E-01  4.2661E-01
     6.20936     1.64266    -1.54933     4.4131E-01  2.3308E-01  9.8394E-02
     8.81141    -3.67470    -4.51214     1.2135E-01  7.0693E-02  4.4025E-02
     8.71544     0.06658    -1.54156     2.7577E-01  2.7327E-01 -3.7323E-02
    10.30912    -0.68109    -3.25288     1.1039E-02  1.1865E-01  2.2377E-02
     5.72157     2.54848    -8.59150     3.0886E-01  9.7814E-02  2.3180E-02
    22.91283    -3.61075    45.55868     2.1152E-01  1.0270E-01  3.7208E-02
     7.25159     1.32473    -3.18385     3.3213E-01  1.7842E-01  6.0110E-02
     8.45208     1.28279    -2.55474     4.7811E-04  1.7787E-01 -5.1382E-02
