 # t =    10.000000149011612     
 x   y   z   vx   vy   vz
     3.67513    -2.80478    -3.55801     4.4381E-01 -2.5305E-01  7.4214E-02
     0.50822    -0.75354    -1.38084    -2.5879E-02  3.8710E-02  1.8459E-01
     7.90200    -4.25405     1.46891     4.9854E-01 -1.0858E-01  3.3363E-01
     0.15321    -0.10779    -2.68274    -1.6720E-01  2.6688E-01  8.8613E-02
    -3.97656    -0.35503    -0.87709    -4.8942E-01  2.0805E-01  1.7654E-01
     6.40367    -2.90517   -17.70967     1.5315E-01  1.4239E-01  1.3065E-01
     8.68744    -0.72458    -4.10995     8.2301E-02  1.2304E-02  2.2285E-01
     3.82836    -0.65444    -0.24368     1.0917E-01  3.0661E-01  4.3888E-02
     1.81421    -1.13451    -3.82475    -2.3874E-01 -2.0780E-02 -7.0964E-02
     3.77589    -0.62393    -2.94891     8.3389E-02  1.1411E-01  4.5550E-02
     3.51744     1.19646     1.31215     1.9475E-01  1.7476E-01  3.2962E-01
     2.60531     2.21863     0.81623     6.4043E-02  3.6606E-01  4.8293E-01
     9.56553     0.23120    -0.83286     6.1795E-01  1.6575E-01  2.2142E-01
     3.28079     1.66015    -1.16824     1.2307E-01  2.0210E-01  1.1281E-01
     2.95230    -1.49943     1.69692     1.1657E-01  1.7223E-01  3.3202E-01
     0.69924    -2.83601    -0.93629    -1.0054E-01  1.1111E-01  2.6855E-01
     6.63733    -0.90876    -3.39551     2.2163E-01  1.0645E-01  8.2315E-02
     0.20541    -0.16772    -2.66712     2.6720E-02  2.4737E-02 -2.1702E-02
    -2.31105    -3.69120    -2.05023    -5.4439E-01 -2.0292E-01  2.0130E-02
     6.86777     1.72951    -3.03806     4.9844E-01  4.2034E-01 -1.3550E-02
     4.95845    -2.98037    -6.87858     8.6133E-02 -4.6269E-02 -2.2071E-01
     3.58734    -2.07519    -2.73160     1.9292E-01  4.0790E-01 -9.1771E-02
     1.76165    -0.24765    -0.16768     1.1831E-01  2.6436E-01  2.6738E-01
    -0.28000     0.43796     0.14616    -1.6791E-01  2.0413E-01  3.3871E-01
     2.19872    -1.15927    -1.29828     5.5931E-01  3.4567E-02 -3.5561E-02
     4.56898     0.42417    -1.74811    -3.7927E-02 -3.9225E-02  1.6246E-01
     4.96859    -1.70858    -4.37448     3.2764E-01 -1.0640E-01  9.6252E-02
     4.72039    -1.36183    -0.15235     2.2422E-01 -7.8275E-03  2.2464E-01
     7.20653     0.31507    -1.15656     4.0890E-01  2.6681E-01  2.9418E-01
     3.08168    -0.56844    -1.15026     2.1337E-01 -4.2558E-02 -6.0430E-02
     3.54652    -1.82143    -1.82522     5.8641E-02  2.1433E-01  2.2456E-01
     7.18399    -3.27696    -2.66002     3.2456E-01  2.5492E-02  8.0944E-02
     2.94533    -3.04605    -8.81824     2.3179E-02 -1.6779E-01 -6.5114E-01
     1.30216    -3.83034    -4.34673     1.1187E-01 -7.7333E-02 -8.1542E-02
     4.36437    -4.61343    -5.72295     4.2849E-01 -1.1911E-01 -9.8133E-02
     1.84402    -0.94086     0.58789    -9.6631E-02  2.8036E-01  1.8298E-01
     4.32543    -1.76976    -3.68324     3.9405E-01  1.8206E-01  6.8276E-02
    -9.93552    -8.35837     3.94940     1.1282E-01  6.3197E-02  6.7383E-02
     2.43588    -1.75673    -0.88808     1.9375E-01  1.4741E-02  3.5961E-01
     4.01820     1.14500     1.09444     2.4363E-01  3.3949E-01  2.5983E-01
     6.45541    -2.40569    -3.35307     4.6456E-01  2.8161E-01  2.1475E-01
     1.12715    -3.59542    -3.92073    -1.1304E-01 -9.9429E-02  8.3877E-02
     4.21157    -7.03871    -2.49021     1.1730E-01 -2.2225E-01 -2.7684E-02
     4.07730    -1.98718    -1.81324     4.3004E-01  2.5828E-01  1.6547E-01
     4.57231    -1.87254    -4.67350     3.5211E-01  2.1127E-01 -1.1106E-01
     2.86273     2.65237     2.43074     1.9107E-01  4.3369E-01  4.8931E-01
     0.38137    -3.11248    -3.90010     1.4564E-01  2.0374E-01  1.0633E-01
     5.76735    -3.26248    -4.33575     2.2128E-01 -1.3823E-01 -8.4775E-02
     3.35949    -1.95235    -3.00383     1.6900E-01 -6.8770E-02  1.1426E-01
     7.43213    -1.81789    -3.13170     2.9977E-01  1.6721E-02 -3.1395E-02
     0.18324     0.25706    -7.90936     2.3310E-01  1.3319E-01 -9.9378E-02
    18.68354    -5.65171    44.75291     2.1139E-01  1.0139E-01  4.3290E-02
     4.32952    -2.10767    -2.63075     2.3446E-03  5.7426E-02 -9.6082E-02
     4.78531    -2.19625    -2.32045     3.6245E-01  6.3767E-02  6.3121E-02
     2.81097    -7.15863    -5.15998     1.3258E-01 -3.5339E-02 -2.1127E-02
     4.40171    -0.94045    -2.47869     5.5786E-02 -1.5694E-01 -2.3169E-02
     3.67414    -2.58348     0.73252     9.5599E-02 -3.7498E-02  4.5609E-01
     5.51252     0.73013    -0.54148     6.3567E-02 -1.2178E-01 -1.4083E-01
     1.79623    -0.50997    -3.33778     1.2593E-01  1.4837E-01 -5.6975E-02
     3.63197     0.23361    -0.89590     1.4327E-01  6.2202E-02 -3.0615E-01
     1.65879    -1.65140     4.81499     1.7525E-01  1.3449E-01  1.2627E-01
     5.37368    -1.25566    -1.99490     2.3860E-01  1.1775E-01 -1.1621E-01
     6.36564    -0.22144    -2.55238     8.5173E-02  3.1750E-03 -2.0160E-01
     2.48754     1.04262    -2.08737     1.1806E-01  2.6609E-01 -8.0656E-02
     5.76175     0.89776     0.91330     3.9151E-01  1.6369E-01  4.5959E-01
     8.67936    -4.62273    -7.10730     6.3754E-01 -2.0182E-01 -3.7763E-01
     2.22387    -0.37913    -6.04974     5.8355E-02  2.3511E-02 -2.6296E-01
     3.39792    -4.26949    -1.99080     3.2445E-01  1.0252E-02 -6.9722E-02
     1.89937    -0.60805    -0.41469    -2.6633E-01  2.7851E-01  2.0868E-01
     4.51801    -5.28759    -0.49902     2.1550E-01 -1.5733E-01  1.6360E-01
     1.65520    -1.42816     2.53291     1.9016E-01  1.4104E-01 -1.3217E-02
     4.95461     0.98921    -2.37012     5.0817E-01 -1.4861E-02  3.0589E-02
     1.10062    -0.79007    -0.56712     1.1936E-01  1.1612E-01  1.6796E-01
     4.53193    -1.02690    -3.73262     4.2556E-01  1.8589E-01 -8.0137E-02
